external_id,name,slug,parent_external_id,has_shipping,has_brand,metadata
1,Vozila,vozila,,0,1,"{""id"":1,""name"":""Vozila"",""name_singular"":""Vozila"",""slug"":""vozila"",""parent_id"":null,""order"":1,""desktop_order"":1,""top_category"":true,""highlighted"":true,""shipping_available"":false,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":0,""icon"":""cars"",""show_stories"":true}"
2,Nekretnine,nekretnine,,0,0,"{""id"":2,""name"":""Nekretnine"",""name_singular"":""Nekretnine"",""slug"":""nekretnine"",""parent_id"":null,""order"":2,""desktop_order"":2,""top_category"":true,""highlighted"":true,""shipping_available"":false,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":false,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":false,""show_map"":true,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":0,""icon"":""real-estate"",""show_stories"":true}"
2159,Servisi i usluge,servisi-i-usluge,,0,0,"{""id"":2159,""name"":""Servisi i usluge"",""name_singular"":""Servisi i usluge"",""slug"":""servisi-i-usluge"",""parent_id"":null,""order"":3,""desktop_order"":3,""top_category"":true,""highlighted"":false,""shipping_available"":false,""sensitive_content"":false,""post_option"":null,""show_price"":false,""show_brand"":false,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":false,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":5,""icon"":""services"",""show_stories"":false}"
2286,Poslovi,poslovi,,0,0,"{""id"":2286,""name"":""Poslovi"",""name_singular"":""Poslovi"",""slug"":""poslovi"",""parent_id"":null,""order"":4,""desktop_order"":4,""top_category"":true,""highlighted"":false,""shipping_available"":false,""sensitive_content"":false,""post_option"":null,""show_price"":false,""show_brand"":false,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":false,""show_map"":false,""listing_fee"":100,""booking_enabled"":false,""base_listing_price"":10,""icon"":""jobs"",""show_stories"":false}"
928,Dijelovi za vozila,dijelovi-za-vozila,,0,1,"{""id"":928,""name"":""Dijelovi za vozila"",""name_singular"":""Dijelovi za vozila"",""slug"":""dijelovi-za-vozila"",""parent_id"":null,""order"":5,""desktop_order"":5,""top_category"":false,""highlighted"":false,""shipping_available"":false,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":5,""icon"":""car-parts"",""show_stories"":false}"
3,Mobilni uređaji,mobilni-uredjaji,,1,1,"{""id"":3,""name"":""Mobilni uređaji"",""name_singular"":""Mobilni uređaji"",""slug"":""mobilni-uredjaji"",""parent_id"":null,""order"":6,""desktop_order"":6,""top_category"":true,""highlighted"":true,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":0,""icon"":""mobile-phones"",""show_stories"":false}"
5,Kompjuteri,kompjuteri,,1,1,"{""id"":5,""name"":""Kompjuteri"",""name_singular"":""Kompjuteri"",""slug"":""kompjuteri"",""parent_id"":null,""order"":7,""desktop_order"":7,""top_category"":true,""highlighted"":true,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":0,""icon"":""convos"",""show_stories"":false}"
14,Tehnika,tehnika,,1,1,"{""id"":14,""name"":""Tehnika"",""name_singular"":""Tehnika"",""slug"":""tehnika"",""parent_id"":null,""order"":8,""desktop_order"":8,""top_category"":true,""highlighted"":true,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":0,""icon"":""clock"",""show_stories"":false}"
701,Moj dom,moj-dom,,0,1,"{""id"":701,""name"":""Moj dom"",""name_singular"":""Moj dom"",""slug"":""moj-dom"",""parent_id"":null,""order"":9,""desktop_order"":9,""top_category"":true,""highlighted"":true,""shipping_available"":false,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":0,""icon"":""my-home"",""show_stories"":false}"
224,Biznis i Industrija,biznis-i-industrija,,1,1,"{""id"":224,""name"":""Biznis i Industrija"",""name_singular"":""Biznis i Industrija"",""slug"":""biznis-i-industrija"",""parent_id"":null,""order"":10,""desktop_order"":10,""top_category"":true,""highlighted"":false,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":0,""icon"":""business"",""show_stories"":false}"
