external_id,category_external_id,name,attribute_type,input_type,required,options
2,18,godiste,number,select-range,1,"""[\""2025\"",\""2024\"",\""2023\"",\""2022\"",\""2021\"",\""2020\"",\""2019\"",\""2018\"",\""2017\"",\""2016\"",\""2015\"",\""2014\"",\""2013\"",\""2012\"",\""2011\"",\""2010\"",\""2009\"",\""2008\"",\""2007\"",\""2006\"",\""2005\"",\""2004\"",\""2003\"",\""2002\"",\""2001\"",\""2000\"",\""1999\"",\""1998\"",\""1997\"",\""1996\"",\""1995\"",\""1994\"",\""1993\"",\""1992\"",\""1991\"",\""1990\"",\""1989\"",\""1988\"",\""1987\"",\""1986\"",\""1985\"",\""1984\"",\""1983\"",\""1982\"",\""1981\"",\""1980\"",\""1979\"",\""1978\"",\""1977\"",\""1976\"",\""1975\"",\""1974\"",\""1973\"",\""1972\"",\""1971\"",\""1970\"",\""1969\"",\""1968\"",\""1967\"",\""1966\"",\""1965\"",\""1964\"",\""1963\"",\""1962\"",\""1961\"",\""1960\"",\""1959\"",\""1958\"",\""1957\"",\""1956\"",\""1955\"",\""1954\"",\""1953\"",\""1952\"",\""1951\"",\""1950\""]"""
3,18,kilometra-a,number,text-range,1,"""[]"""
4,18,konjskih-snaga,number,text-range,0,"""[]"""
5,18,kilovata-kw,number,text-range,1,"""[]"""
6,18,registrovan,string,checkbox,0,"""[]"""
7,18,gorivo,string,select,1,"""[\""Dizel\"",\""Benzin\"",\""Plin\"",\""Hibrid\"",\""Elektro\""]"""
15,18,el-podiza-i-stakala,string,checkbox,0,"""[]"""
51,18,klima,string,select,0,"""[\""Jednozonska\"",\""Dvozonska\"",\""Trozonska\"",\""Četverozonska\""]"""
52,18,transmisija,string,select,1,"""[\""Automatik\"",\""Manuelni\""]"""
53,18,airbag,string,checkbox,0,"""[]"""
54,18,servo-volan,string,checkbox,0,"""[]"""
55,18,alarm,string,checkbox,0,"""[]"""
56,18,daljinsko-otklju-avanje,string,checkbox,0,"""[]"""
57,18,muzika-ozvucenje,string,select,0,"""[\""Kasetofon\"",\""CD\"",\""CD MP3\"",\""CD MP3 plus pojačalo\"",\""DVD MP3 plus LCD display\"",\""Ostalo\""]"""
58,18,elektri-ni-retrovizori,string,checkbox,0,"""[]"""
59,18,tip,string,select,0,"""[\""Limuzina\"",\""Malo auto\"",\""Karavan\"",\""Monovolumen\"",\""Kombi\"",\""Terenac\"",\""SUV\"",\""Kabriolet\"",\""Sportski/kupe\"",\""Off Road\"",\""Caddy\"",\""Pick up\"",\""Oldtimer\"",\""Crossover\"",\""Ostalo\""]"""
60,18,siber,string,checkbox,0,"""[]"""
62,18,boja,string,select,0,"""[\""Bež\"",\""Bijela\"",\""Bordo\"",\""Crna\"",\""Crvena\"",\""Ljubičasta\"",\""Narandžasta\"",\""Plava\"",\""Siva\"",\""Smeđa\"",\""Srebrena\"",\""Zelena\"",\""Zlatna\"",\""Žuta\""]"""
63,18,ko-a,string,select,0,"""[\""Koža\"",\""Platno\"",\""Alkantara\"",\""Koža i platno\"",\""Koža i alkantara\"",\""Ostalo\""]"""
65,18,navigacija,string,checkbox,0,"""[]"""
67,18,alu-felge,string,checkbox,0,"""[]"""
901,18,broj-vrata,string,select,1,"""[\""2/3\"",\""4/5\""]"""
902,18,servisna-knjiga,string,checkbox,0,"""[]"""
903,18,metalik,string,checkbox,0,"""[]"""
904,18,svjetla,string,select,0,"""[\""Halogena\"",\""Xenon\"",\""LED\"",\""Laser\"",\""Ostalo\""]"""
1144,18,kubikaza,number,select-range,1,"""[\""0.6\"",\""0.7\"",\""0.8\"",\""0.9\"",\""1.0\"",\""1.1\"",\""1.2\"",\""1.3\"",\""1.4\"",\""1.5\"",\""1.6\"",\""1.7\"",\""1.8\"",\""1.9\"",\""2.0\"",\""2.2\"",\""2.3\"",\""2.4\"",\""2.5\"",\""2.6\"",\""2.7\"",\""2.8\"",\""2.9\"",\""3.0\"",\""3.2\"",\""3.3\"",\""3.4\"",\""3.5\"",\""3.6\"",\""3.7\"",\""3.8\"",\""3.9\"",\""4.0\"",\""4.2\"",\""4.3\"",\""4.4\"",\""4.5\"",\""4.6\"",\""4.7\"",\""4.8\"",\""4.9\"",\""5.0\"",\""5.1\"",\""5.2\"",\""5.3\"",\""5.4\"",\""5.5\"",\""5.6\"",\""5.7\"",\""5.8\"",\""5.9\"",\""6.0\"",\""6.1\"",\""6.2\"",\""6.3\"",\""6.4\"",\""6.5\"",\""6.6\"",\""6.7\"",\""6.8\"",\""6.9\"",\""7.0\"",\""7.1\"",\""7.2\"",\""7.3\"",\""7.4\"",\""7.5\""]"""
1171,18,velicina-felgi,string,select,0,"""[\""13\"",\""14\"",\""15\"",\""16\"",\""17\"",\""18\"",\""19\"",\""20\"",\""21\"",\""22\"",\""23\"",\""Ostalo\""]"""
1834,18,tempomat,string,checkbox,0,"""[]"""
1835,18,parking-senzori,string,select,0,"""[\""Nema\"",\""Naprijed\"",\""Nazad\"",\""Naprijed i nazad\""]"""
1836,18,komande-na-volanu,string,checkbox,0,"""[]"""
2044,18,prilagodjen-invalidima,string,checkbox,0,"""[]"""
2045,18,na-lizingu,string,checkbox,0,"""[]"""
2046,18,oldtimer,string,checkbox,0,"""[]"""
2052,18,pogon,string,select,0,"""[\""Prednji\"",\""Zadnji\"",\""Sva četiri\""]"""
2056,18,ocarinjen,string,checkbox,0,"""[]"""
2064,18,strane-tablice,string,checkbox,0,"""[]"""
2173,18,masa-tezina-kg,number,text-range,0,"""[]"""
2222,18,zastita-blokada,string,select,0,"""[\""Blokada mjenjača\"",\""Blokada volana\"",\""Blokada točka\"",\""Električna blokada\"",\""Električna+mehanička\"",\""Ostalo\""]"""
2414,18,registrovan-do,string,select,0,"""[\""11/2026\"",\""10/2026\"",\""09/2026\"",\""08/2026\"",\""07/2026\"",\""06/2026\"",\""05/2026\"",\""04/2026\"",\""03/2026\"",\""02/2026\"",\""01/2026\"",\""12/2025\"",\""11/2025\""]"""
2416,18,abs,string,checkbox,0,"""[]"""
2417,18,esp,string,checkbox,0,"""[]"""
2423,18,godina-prve-registracije,string,select,0,"""[\""2025\"",\""2024\"",\""2023\"",\""2022\"",\""2021\"",\""2020\"",\""2019\"",\""2018\"",\""2017\"",\""2016\"",\""2015\"",\""2014\"",\""2013\"",\""2012\"",\""2011\"",\""2010\"",\""2009\"",\""2008\"",\""2007\"",\""2006\"",\""2005\"",\""2004\"",\""2003\"",\""2002\"",\""2001\"",\""2000\"",\""1999\"",\""1998\"",\""1997\"",\""1996\"",\""1995\"",\""1994\"",\""1993\"",\""1992\"",\""1991\"",\""1990\"",\""1989\"",\""1988\"",\""1987\"",\""1986\"",\""1985\"",\""1984\"",\""1983\"",\""1982\"",\""1981\"",\""1980\"",\""1979\"",\""1978\"",\""1977\"",\""1976\"",\""1975\"",\""1974\"",\""1973\"",\""1972\"",\""1971\"",\""1970\"",\""1969\"",\""1968\"",\""1967\"",\""1966\"",\""1965\"",\""1964\"",\""1963\"",\""1962\"",\""1961\"",\""1960\"",\""Starije\""]"""
2435,18,broj-stepeni-prijenosa,string,select,0,"""[\""3+R\"",\""4+R\"",\""5+R\"",\""6+R\"",\""7+R\"",\""8+R\"",\""9+R\"",\""CVT\""]"""
2475,18,emisioni-standard,string,select,0,"""[\""Euro 6\"",\""Euro 5\"",\""Euro 4\"",\""Euro 3\"",\""Euro 2\"",\""Euro 1\"",\""Euro 0\""]"""
2972,18,digitalna-klima,string,checkbox,0,"""[]"""
4167,18,sjedecih-mjesta,string,select,0,"""[\""1\"",\""2\"",\""3\"",\""4\"",\""5\"",\""6\"",\""7\"",\""8\"",\""Više\""]"""
4577,18,start-stop-sistem,string,checkbox,0,"""[]"""
4640,18,turbo,string,checkbox,0,"""[]"""
4695,18,dpf-fap-filter,string,checkbox,0,"""[]"""
4727,18,centralna-brava,string,checkbox,0,"""[]"""
4734,18,broj-prethodnih-vlasnika,string,select,0,"""[\""Prvi vlasnik\"",\""1\"",\""2\"",\""3\"",\""4\"",\""5\"",\""Više od 5\""]"""
4759,18,auto-kuka,string,checkbox,0,"""[]"""
4801,18,panorama-krov,string,checkbox,0,"""[]"""
4991,18,grijanje-sjedista,string,checkbox,0,"""[]"""
5011,18,posjeduje-gume,string,select,0,"""[\""Ljetne\"",\""Zimske\"",\""Ljetne i Zimske\"",\""Ostalo\""]"""
5227,18,isofix,string,checkbox,0,"""[]"""
5242,18,park-assist,string,checkbox,0,"""[]"""
5258,18,touch-screen-ekran,string,checkbox,0,"""[]"""
6406,18,udaren,string,checkbox,0,"""[]"""
6676,18,hladjenje-sjedista,string,checkbox,0,"""[]"""
6677,18,masaza-sjedista,string,checkbox,0,"""[]"""
6678,18,parking-kamera,string,select,0,"""[\""Nema\"",\""Prednja\"",\""Zadnja\"",\""Prednja i zadnja\"",\""Kamera 360\""]"""
6679,18,naslon-za-ruku,string,checkbox,0,"""[]"""
6680,18,rolo-zavjese,string,select,0,"""[\""Nema\"",\""Bočne\"",\""Zadnja\""]"""
6681,18,el-pomjeranje-sjedista,string,checkbox,0,"""[]"""
6682,18,senzor-auto-svjetla,string,checkbox,0,"""[]"""
6683,18,senzor-mrtvog-ugla,string,checkbox,0,"""[]"""
6684,18,memorija-sjedista,string,checkbox,0,"""[]"""
7309,18,usb-port,string,checkbox,0,"""[]"""
7310,18,head-up-display,string,checkbox,0,"""[]"""
7311,18,bluetooth,string,checkbox,0,"""[]"""
7312,18,car-play,string,checkbox,0,"""[]"""
7313,18,senzor-kise,string,checkbox,0,"""[]"""
7314,18,hill-assist,string,checkbox,0,"""[]"""
7315,18,maglenke,string,checkbox,0,"""[]"""
7316,18,garancija,string,select,0,"""[\""1\"",\""2\"",\""3\"",\""4\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""10\"",\""Nema\""]"""
20,20,godiste,number,select-range,1,"""[\""2025\"",\""2024\"",\""2023\"",\""2022\"",\""2021\"",\""2020\"",\""2019\"",\""2018\"",\""2017\"",\""2016\"",\""2015\"",\""2014\"",\""2013\"",\""2012\"",\""2011\"",\""2010\"",\""2009\"",\""2008\"",\""2007\"",\""2006\"",\""2005\"",\""2004\"",\""2003\"",\""2002\"",\""2001\"",\""2000\"",\""1999\"",\""1998\"",\""1997\"",\""1996\"",\""1995\"",\""1994\"",\""1993\"",\""1992\"",\""1991\"",\""1990\"",\""1989\"",\""1988\"",\""1987\"",\""1986\"",\""1985\"",\""1984\"",\""1983\"",\""1982\"",\""1981\"",\""1980\"",\""1979\"",\""1978\"",\""1977\"",\""1976\"",\""1975\"",\""1974\"",\""1973\"",\""1972\"",\""1971\"",\""1970\"",\""1969\"",\""1968\"",\""1967\"",\""1966\"",\""1965\"",\""1964\"",\""1963\"",\""1962\"",\""1961\"",\""1960\""]"""
21,20,kilometraza,number,text-range,1,"""[]"""
22,20,konjskih-snaga,number,text-range,0,"""[]"""
23,20,kilovata-kw,number,text-range,0,"""[]"""
24,20,registrovan-ocarinjen,string,checkbox,0,"""[]"""
25,20,gorivo,string,select,1,"""[\""Dizel\"",\""Benzin\"",\""Plin\"",\""Hibrid\"",\""Elektro\""]"""
26,20,model,string,text,0,"""[]"""
905,20,tip,string,select,1,"""[\""Kiper\"",\""Šleper/Tegljač\"",\""Cisterna\"",\""Damper\"",\""Šlep vozilo\"",\""Kombi\"",\""Dostavno vozilo\"",\""Ostalo\""]"""
906,20,transmisija,string,select,0,"""[\""Automatik\"",\""Poluautomatik\"",\""Manuelni\""]"""
908,20,boja,string,select,0,"""[\""Bež\"",\""Bijela\"",\""Crna\"",\""Crvena\"",\""Ljubičasta\"",\""Narandžasta\"",\""Plava\"",\""Siva\"",\""Smeđa\"",\""Srebrena\"",\""Zelena\"",\""Zlatna\"",\""Žuta\""]"""
909,20,metalik,string,checkbox,0,"""[]"""
910,20,muzika-ozvu-enje,string,select,0,"""[\""Kasetofon\"",\""CD\"",\""CD MP3\"",\""CD MP3 plus pojačalo\"",\""DVD MP3 plus LCD display\"",\""Ostalo\""]"""
911,20,udaren,string,checkbox,0,"""[]"""
912,20,servisna-knjiga,string,checkbox,0,"""[]"""
913,20,servo-volan,string,checkbox,0,"""[]"""
915,20,el-podiza-i-stakala,string,checkbox,0,"""[]"""
916,20,elektri-ni-retrovizori,string,checkbox,0,"""[]"""
917,20,klima,string,checkbox,0,"""[]"""
918,20,navigacija,string,checkbox,0,"""[]"""
920,20,ko-a,string,checkbox,0,"""[]"""
921,20,xenon-svjetla,string,checkbox,0,"""[]"""
923,20,alarm,string,checkbox,0,"""[]"""
924,20,daljinsko-otklju-avanje,string,checkbox,0,"""[]"""
1155,20,nosivost-tona,string,select,0,"""[\""Manje od 3.5\"",\""3.5 do 12\"",\""preko 12\""]"""
2174,20,masa-tezina-kg,number,text-range,0,"""[]"""
2415,20,registrovan-do,string,select,0,"""[\""11/2026\"",\""10/2026\"",\""09/2026\"",\""08/2026\"",\""07/2026\"",\""06/2026\"",\""05/2026\"",\""04/2026\"",\""03/2026\"",\""02/2026\"",\""01/2026\"",\""12/2025\"",\""11/2025\""]"""
2438,20,emisioni-standard,string,select,0,"""[\""Euro 0\"",\""Euro 1\"",\""Euro 2\"",\""Euro 3\"",\""Euro 4\"",\""Euro 5\"",\""Euro 6\""]"""
2439,20,vrsta-pogona,string,select,0,"""[\""4x2\"",\"" 4x4\"",\"" 6x2\"",\""6x4\"",\"" 6x6\"",\"" 8x4\"",\""8x6\"",\""8x8\""]"""
2479,20,broj-osovina,string,select,1,"""[\""2\"",\""3\"",\""4\"",\""Više od 4\""]"""
4728,20,centralna-brava,string,checkbox,0,"""[]"""
