name,category_external_id,location_external_id,default_listing_type,default_state,attribute_mappings,description_filter,title_template,description_template
Sijalice za automobile - No Location (Auto-created from sync),1453,,sell,new,,,,
Akumulatori za automobile - No Location (Auto-created from sync),1446,,sell,new,,,,
Unutrašnji izgled za automobile - No Location (Auto-created from sync),1463,,sell,new,,,,
Ulje i maziva za motocikle - No Location (Auto-created from sync),1695,,sell,new,,,,
Prekidači za automobile - No Location (Auto-created from sync),1450,,sell,new,,,,
Mobiteli - No Location (Auto-created from sync),31,,sell,none,,,,
Dizalice za automobile - No Location (Auto-created from sync),1486,,sell,new,,,,
Ulja za automobile - No Location (Auto-created from sync),1455,,sell,new,,,,
Autodijagnostika - No Location (Auto-created from sync),1603,,sell,new,,,,
Kacige za motocikliste - No Location (Auto-created from sync),1041,,sell,new,,,,
Ručice mjenjača za automobile - No Location (Auto-created from sync),2062,,sell,new,,,,
Znakovi za automobile - No Location (Auto-created from sync),1617,,sell,new,,,,
Deterdženti i sredstva za dezinfekciju - No Location (Auto-created from sync),793,,sell,new,,,,
Autokozmetika - No Location (Auto-created from sync),942,,sell,new,,,,
Gume za automobile - No Location (Auto-created from sync),940,,sell,used,,,,
Ostalo - No Location (Auto-created from sync),1188,,sell,new,,,,
Svjetla/Signalizacija za motocikle - No Location (Auto-created from sync),952,,sell,new,,,,
Čepovi felgi za automobile - No Location (Auto-created from sync),2034,,sell,new,,,,
Blatobrani za automobile - No Location (Auto-created from sync),1456,,sell,new,,,,
Senzori za automobile - No Location (Auto-created from sync),1470,,sell,new,,,,
CD/DVD/MC/Radio player za automobile - No Location (Auto-created from sync),1565,,sell,new,,,,
Retrovizori za automobile - No Location (Auto-created from sync),943,,sell,new,,,,
Alat i pribor za automobile - No Location (Auto-created from sync),1615,,sell,new,,,,
Izduvni sistemi za motocikle - No Location (Auto-created from sync),958,,sell,new,,,,
Ručke i tegovi za motocikle - No Location (Auto-created from sync),1505,,sell,new,,,,
Rotacije za automobile - No Location (Auto-created from sync),2605,,sell,new,,,,
Ostalo za teretna vozila - No Location (Auto-created from sync),972,,sell,new,,,,
Maske za automobile - No Location (Auto-created from sync),1439,,sell,new,,,,
Plastika za automobile - No Location (Auto-created from sync),1623,,sell,new,,,,
Baterije i punjači - No Location (Auto-created from sync),2575,,sell,new,,,,
Dodaci i Pribor za motocikle - No Location (Auto-created from sync),1691,,sell,new,,,,
Punjači za mobitele i tablete - No Location (Auto-created from sync),254,,sell,new,,,,
Viziri za motocikle - No Location (Auto-created from sync),1662,,sell,new,,,,
Retrovizori za motocikle - No Location (Auto-created from sync),956,,sell,new,,,,
Odijela i majice za motocikliste - No Location (Auto-created from sync),1540,,sell,new,,,,
Žmigavci za automobile - No Location (Auto-created from sync),1541,,sell,new,,,,
Tuning za automobile - No Location (Auto-created from sync),948,,sell,new,,,,
Balasti za automobile - No Location (Auto-created from sync),2501,,sell,new,,,,
Maglenke za automobile - No Location (Auto-created from sync),2015,,sell,new,,,,
Filteri za automobile - No Location (Auto-created from sync),1434,,sell,new,,,,
Nosači/držači za mobitele - No Location (Auto-created from sync),2031,,sell,new,,,,
Brave i ključevi za automobile - No Location (Auto-created from sync),1614,,sell,new,,,,
Gume za motocikle - No Location (Auto-created from sync),953,,sell,new,,,,
Aditivi za automobile - No Location (Auto-created from sync),2607,,sell,new,,,,
Svjetla tablica za automobile - No Location (Auto-created from sync),2558,,sell,new,,,,
Rotacije za teretna vozila - No Location (Auto-created from sync),2604,,sell,new,,,,
Gedore i ključevi - No Location (Auto-created from sync),1837,,sell,new,,,,
Kablovi za mobitele - No Location (Auto-created from sync),1045,,sell,new,,,,
Ratkape za automobile - No Location (Auto-created from sync),1454,,sell,new,,,,
Sajle za automobile - No Location (Auto-created from sync),2144,,sell,new,,,,
Zvučnici za automobile - No Location (Auto-created from sync),1566,,sell,new,,,,
Selotejp i trake - No Location (Auto-created from sync),2632,,sell,new,,,,
Farovi i Štopke za automobile - No Location (Auto-created from sync),939,,sell,new,,,,
Naljepnice i stikeri za automobile - No Location (Auto-created from sync),2455,,sell,new,,,,
Kapice za automobilske gume - No Location (Auto-created from sync),1476,,sell,new,,,,
Zaštita i Sigurnost za motocikle - No Location (Auto-created from sync),1658,,sell,new,,,,
Kućišta osigurača i osigurači za automobile - No Location (Auto-created from sync),2523,,sell,new,,,,
Izduvni sistemi za automobile - No Location (Auto-created from sync),945,,sell,new,,,,
Rukavice za motocikliste - No Location (Auto-created from sync),1510,,sell,new,,,,
Diskovi i pločice za motocikle - No Location (Auto-created from sync),1657,,sell,new,,,,
"Branici, karambolke i spojleri za automobile - No Location (Auto-created from sync)",944,,sell,new,,,,
Koferi i Torbe za motocikle - No Location (Auto-created from sync),1609,,sell,new,,,,
Autofolije - No Location (Auto-created from sync),2587,,sell,new,,,,
Antene za automobile - No Location (Auto-created from sync),2435,,sell,new,,,,
Ostali materijali i oprema - No Location (Auto-created from sync),1954,,sell,new,,,,
Kablovi i konektori za automobile - No Location (Auto-created from sync),1599,,sell,new,,,,
Antifrizi i permanti za automobile - No Location (Auto-created from sync),2606,,sell,new,,,,
Filteri za motocikle - No Location (Auto-created from sync),1646,,sell,new,,,,
Jakne za motocikliste - No Location (Auto-created from sync),1511,,sell,new,,,,
Žmigavci za motocikle - No Location (Auto-created from sync),1663,,sell,new,,,,
FM transmiteri za automobile - No Location (Auto-created from sync),2401,,sell,new,,,,
Autopresvlake - No Location (Auto-created from sync),2028,,sell,new,,,,
Privjesci za ključeve - No Location (Auto-created from sync),502,,sell,new,,,,
Ostali dijelovi za automobile - No Location (Auto-created from sync),947,,sell,new,,,,
Elektronika za motocikle - No Location (Auto-created from sync),1082,,sell,new,,,,
Svjetla/Signalizacija za bicikle - No Location (Auto-created from sync),976,,sell,new,,,,
Električni osigurači - No Location (Auto-created from sync),1843,,sell,new,,,,
Brisači za automobile - No Location (Auto-created from sync),1440,,sell,new,,,,
Stativi - No Location (Auto-created from sync),1073,,sell,new,,,,
Oprema za telekomunikacije - No Location (Auto-created from sync),1049,,sell,new,,,,
Pepeljare za automobile - No Location (Auto-created from sync),2473,,sell,new,,,,
Redne stezaljke i stopice - No Location (Auto-created from sync),2637,,sell,new,,,,
Okviri tablica za automobile - No Location (Auto-created from sync),2125,,sell,new,,,,
Amortizeri i opruge za automobile - No Location (Auto-created from sync),1462,,sell,new,,,,
"Otpornici, diode i kondenzatori - No Location (Auto-created from sync)",2503,,sell,new,,,,
Tuning za motocikle - No Location (Auto-created from sync),961,,sell,new,,,,
Nosači za motocikle - No Location (Auto-created from sync),1647,,sell,new,,,,
Bužiri i kanalice - No Location (Auto-created from sync),2621,,sell,new,,,,
Unutrašnje osvjetljenje za automobile - No Location (Auto-created from sync),2557,,sell,new,,,,
Ostalo - No Location (Auto-created from sync),1077,,sell,new,,,,
Baterije za kamere i fotoaparate - No Location (Auto-created from sync),2156,,sell,new,,,,
Lanci za snijeg automobilskih guma - No Location (Auto-created from sync),1812,,sell,new,,,,
Bušilice - No Location (Auto-created from sync),1577,,sell,new,,,,
Auto servis - No Location (Auto-created from sync),2166,,sell,new,,,,
Tyre,940,,sell,new,,"[""namjena"",""sirina"",""profil"",""promjer"",""sezona"",""klasa"",""brend"",""profil_gume"",""index_nosivosti"",""indeks_brzine"",""stari_dot"",""oznaka_ms"",""brand""]",{brend} {title} Zimske Gume,
Batteries,1446,,sell,new,"{""5078"":""extract:Kapacitet baterije"",""2513"":""extract:Vrsta održavanja""}","[""Namjena"",""Primjena"",""Kapacitet baterije"",""Struja hladnog starta"",""Proizvođač akumulatora"",""Tip akumulatora"",""Polaritet akumulatora"",""Vrsta održavanja"",""Tip"",""Dužina"",""Širina"",""Visina"",""Vrsta klema"",""Težina akumulatora"",""Vrsta učvršćivanja akumulatora"",""Nazivni napon"","",""]",{proizvodac_akumulatora} Akumulator {title} {tip_akumulatora} {kapacitet_baterije},
Motor Oil,1455,,sell,new,,"[""Naziv"",""Proizvođač"",""Viskozitet"",""Kapacitet"",""Norma"",""API specifikacija"",""ACEA specifikacija"",""Linija proizvoda"",""Podjela piktograma"",""Namjena"","","","",""]",{naziv} {viskozitet} {proizvodac} {title},
